artist_popularity,followers,genres,id,name
39,135,[],47PW7jNEh3qCVQWq4rsrmP,Tammy Lucas
48,47368,"['christian hip hop', 'christian trap']",0P8V2XSw1mIo8739T1qjzr,Bizzle
37,373,[],0RAj4cXWietdNzd94osANm,John Moulder
8,12,[],4hZlHV8MCv6YJlTMr1xOKC,Dachzner
34,660,[],6WIl7v3MqdJTUtG5EEDlOu,HA
29,262,[],0VzwcKIcGtWlNa3OW0t1BZ,Michael Hughes Watson
45,23426,"['christian hip hop', 'christian trap']",2RhGXxsDpB0eB122Ce3WYB,John Givez
37,326,[],2RnJnmDsu7HDPmj4UNjmjh,Bill Mobley
45,438,[],09ryxLeU3mzmubZtcyDGdA,David Marley
35,26,[],5VyuxeMadrk0YwzaSplggN,Nuki
37,35752,"['brazilian gospel', 'jovem guarda']",328rxNpbUC1zFPojNBnKj4,Marcos Antônio
32,431,[],3eJCIS7ytlYvT3pgReuWWa,Madeline Edwards
